GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
FEMALE,25,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,8.571428571,14.69387755,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,6.142857143,10.53061224,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,3,5.142857143,A
FEMALE,23,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13.75,7.142857143,12.24489796,A
FEMALE,23,JORDAN,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,13.42857143,23.02040816,B+
MALE,22,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4,6.857142857,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9,15.42857143,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,14.42857143,24.73469388,A-
MALE,29,SOMALIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,22.57142857,38.69387755,B+
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,18,30.85714286,A-
MALE,22,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.81,20.42857143,35.02040816,B-
FEMALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,11.25,10,17.14285714,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9.571428571,16.40816327,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,22,37.71428571,B
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.63,20.85714286,35.75510204,A
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.94,13.14285714,22.53061224,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,10.71428571,18.36734694,A
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,5.857142857,10.04081633,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,16.57142857,28.40816327,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.06,17.71428571,30.36734694,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.38,9.714285714,16.65306122,B
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,6.142857143,10.53061224,B+
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,11.14285714,19.10204082,A-
MALE,21,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,6.94,9,15.42857143,C
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,13.14285714,22.53061224,A-
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.44,8.714285714,14.93877551,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,9.428571429,16.16326531,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,10.42857143,17.87755102,B+
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,8.285714286,14.20408163,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.38,8.428571429,14.44897959,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,7.142857143,12.24489796,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,11.14285714,19.10204082,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,6.714285714,11.51020408,B
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.5,15.14285714,25.95918367,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.31,10.71428571,18.36734694,A
MALE,22,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,10.71428571,18.36734694,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.88,6.428571429,11.02040816,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12,15.14285714,25.95918367,A
MALE,22,INDONESIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.63,6.285714286,10.7755102,B-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5,8.571428571,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,2.857142857,4.897959184,A-
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.428571429,11.02040816,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.428571429,7.591836735,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,B
MALE,28,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,0,1,1.714285714,F
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,A
MALE,24,SOMALIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,A-
FEMALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,2.428571429,4.163265306,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,5.285714286,9.06122449,A
