GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,GRADE
MALE,22,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,10.71428571,18.36734694,19.67930029,14.9937526,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.88,6.428571429,11.02040816,11.80758017,8.996251562,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12,15.14285714,25.95918367,27.81341108,21.19117035,A
MALE,22,INDONESIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.63,6.285714286,10.7755102,11.5451895,8.79633486,B-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5,8.571428571,9.183673469,6.997084548,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,2.857142857,4.897959184,5.247813411,3.998334027,A-
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.428571429,11.02040816,11.80758017,8.996251562,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.428571429,7.591836735,8.134110787,6.197417743,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,5.510204082,4.198250729,B
MALE,28,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,0,1,1.714285714,1.836734694,1.39941691,F
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,5.247813411,3.998334027,A
MALE,24,SOMALIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,5.247813411,3.998334027,A-
FEMALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,2.428571429,4.163265306,4.460641399,3.398583923,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,5.285714286,9.06122449,9.70845481,7.396917951,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.142857143,7.102040816,7.609329446,5.79758434,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,2.285714286,3.918367347,4.198250729,3.198667222,A
MALE,25,CHINA,TIADA PENAJA,ANALITIK BISNES,9.5,5.714285714,9.795918367,10.49562682,7.996668055,B-
MALE,26,YEMEN,BIASISWA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.428571429,5.87755102,6.297376093,4.798000833,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.714285714,11.51020408,12.33236152,9.396084965,A
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,5.428571429,9.306122449,9.970845481,7.596834652,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,4.571428571,7.836734694,8.396501458,6.397334444,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,3,5.142857143,5.510204082,4.198250729,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,2.714285714,4.653061224,4.985422741,3.798417326,A
MALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.714285714,6.367346939,6.822157434,5.197834236,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.714285714,4.653061224,4.985422741,3.798417326,A
MALE,23,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,1.714285714,2.93877551,3.148688047,2.399000416,A
MALE,25,UZBEKISTAN,TIADA PENAJA,ANALITIK BISNES,9.5,8,13.71428571,14.69387755,11.19533528,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,5.510204082,4.198250729,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.571428571,11.26530612,12.06997085,9.196168263,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.428571429,4.163265306,4.460641399,3.398583923,A
MALE,24,MALAYSIA,BIASISWA,ANALITIK BISNES,9.5,0.285714286,0.489795918,0.524781341,0.399833403,A
